temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
20.93,76.09,64.22,19909.86,448.99,False,False,False,False,True,False,False,False,False,False,True,True,False,False
20.18,73.79,57.0,5145.6,463.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.18,50.64,49.4,12118.78,478.77,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.28,70.42,54.68,20106.87,458.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.95,40.68,51.51,34396.11,479.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.95,76.91,65.65,17364.02,451.41,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.75,60.04,54.11,29566.71,473.89,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.51,59.27,53.21,15178.4,529.01,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22.81,60.07,54.36,15246.45,471.37,False,False,False,True,False,False,False,False,False,False,True,False,False,False
22.77,59.69,53.2,14816.09,456.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.83,76.28,67.78,18872.09,496.13,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.85,68.94,67.92,21555.06,476.27,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.4,63.41,56.47,24543.87,489.51,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.42,48.81,48.26,12338.24,453.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.21,61.23,62.83,24412.33,452.06,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.46,63.79,53.67,21616.65,470.23,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.66,55.1,54.03,26243.68,497.52,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.71,59.82,52.78,15053.18,483.53,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.55,69.29,55.85,6276.07,509.99,True,False,False,True,False,False,False,True,False,False,False,False,False,False
21.37,65.16,54.22,21215.42,465.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.71,40.56,53.01,34596.5,423.31,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22.36,58.53,52.18,15029.16,443.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20.76,77.57,68.68,18722.27,450.09,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.15,68.04,55.07,6998.55,470.93,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.62,45.0,53.67,36641.14,434.68,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.86,77.66,68.29,18344.25,452.71,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.41,75.68,69.56,16936.2,479.04,False,False,False,False,True,True,False,False,False,False,False,True,True,False
21.26,64.91,54.7,23712.1,483.83,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.86,52.22,50.58,26074.47,474.23,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.77,53.67,51.78,26427.08,471.22,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.97,41.46,52.7,36015.36,443.07,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.86,55.66,53.63,33185.61,463.57,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20.97,75.5,62.84,19450.91,508.66,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.19,47.12,53.88,38086.21,416.59,False,True,False,False,False,False,False,False,False,False,True,False,False,False
21.14,69.01,55.06,5732.43,455.15,True,False,False,False,False,False,False,True,False,False,False,False,False,False
