temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
21.17,73.28,55.9,20269.85,463.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.88,50.93,51.49,27332.65,456.07,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.32,53.27,54.2,39012.28,458.92,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.79,60.24,55.94,29885.49,452.02,False,False,False,False,True,False,False,False,False,False,False,True,False,False
25.03,47.91,53.41,35694.81,497.52,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20.8,63.27,52.83,7345.13,504.23,True,False,False,True,False,False,False,True,False,False,False,False,False,False
20.32,80.86,61.91,12426.19,478.06,False,False,False,False,True,False,False,False,False,False,False,True,True,False
24.48,60.68,55.37,29856.44,453.48,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.06,51.02,52.72,27424.12,487.35,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.03,62.47,55.86,29354.59,445.09,False,False,False,False,True,False,False,False,False,False,True,True,False,False
20.05,76.51,70.14,17342.39,458.89,False,False,False,False,True,True,False,False,False,False,False,True,True,False
23.64,44.98,53.26,37432.48,451.71,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.87,50.69,53.28,26467.23,522.12,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.64,37.59,51.77,34923.98,426.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22.33,50.3,49.95,27530.16,484.7,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.74,63.02,53.82,9995.53,480.44,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.47,76.59,69.72,17302.48,438.67,True,False,False,False,True,True,False,True,False,False,True,True,True,False
21.06,63.95,51.1,6940.42,502.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23.05,52.68,51.97,27873.3,470.95,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.08,58.91,48.85,8583.67,463.38,True,False,False,False,False,False,False,True,False,False,False,False,False,False
21.01,74.21,55.88,20435.02,494.45,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.17,50.47,46.97,11851.3,445.19,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20.65,50.48,47.07,12014.57,491.84,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.06,70.1,53.78,5529.39,438.74,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21.33,66.01,53.09,21745.68,474.81,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.01,76.42,59.69,8145.03,448.83,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.31,40.17,52.94,35599.51,427.15,False,True,False,False,False,False,False,False,False,False,True,False,False,False
24.97,60.28,55.24,29604.57,507.08,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.42,62.2,56.29,29919.31,475.97,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.24,39.1,20.52,11834.63,433.99,False,False,True,True,False,False,False,False,False,True,True,False,False,False
22.33,50.8,49.14,26953.37,467.17,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.81,52.05,53.61,27244.51,457.26,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.91,77.85,65.79,17230.04,500.63,True,False,False,False,True,True,False,False,False,False,False,True,True,False
21.22,72.66,54.91,20357.95,447.64,False,False,False,False,True,False,False,False,False,False,True,True,False,False
22.22,50.05,48.91,26720.83,477.29,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.65,58.83,52.25,30244.16,480.87,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.5,75.4,59.52,18776.74,468.77,True,False,False,False,True,False,False,True,False,False,False,True,False,False
24.9,60.29,55.8,30062.89,441.16,False,False,False,False,True,False,False,False,False,False,True,True,False,False
20.73,50.29,46.8,12052.31,468.55,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.02,52.67,50.7,26828.79,442.58,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.65,61.65,53.22,22989.63,473.03,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.85,77.57,59.31,18509.69,458.86,True,False,False,False,True,False,False,True,False,False,False,True,False,False
24.8,60.24,54.64,29535.54,451.01,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.14,57.64,51.16,9285.9,445.14,True,False,False,False,False,False,False,True,False,False,True,False,False,False
22.29,50.59,49.43,27072.49,501.25,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.72,40.12,51.31,34526.61,461.57,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20.25,74.09,57.19,12259.8,473.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.66,69.89,57.41,20767.82,483.48,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.85,53.05,55.89,27166.86,501.03,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.13,75.48,71.47,16997.51,471.01,True,False,False,True,True,True,False,True,False,False,True,True,True,False
21.56,48.52,39.42,11911.42,438.18,False,False,True,False,False,False,False,False,False,True,True,False,False,False
23.05,67.41,56.47,24629.0,450.04,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.49,64.9,56.44,33671.67,452.45,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.28,61.79,62.68,24559.95,486.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.04,72.95,58.17,19643.28,486.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.98,52.39,51.89,27573.21,518.77,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.04,74.16,57.8,19876.74,500.6,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.88,52.66,56.79,27085.68,476.47,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.47,72.97,57.37,5264.32,483.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.02,48.67,48.76,13478.25,521.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22.27,50.6,49.69,26496.73,518.0,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.62,66.05,67.72,21375.29,523.48,False,False,False,True,True,False,False,False,False,False,False,True,False,False
20.33,79.43,61.56,11580.01,491.37,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.72,48.46,54.09,34300.89,435.13,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21.7,74.29,56.65,11938.83,448.38,False,False,False,False,True,False,False,False,False,False,True,True,False,False
20.17,49.88,47.0,12203.17,473.23,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.75,57.23,51.38,24750.75,490.33,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.16,40.12,52.34,35702.04,458.55,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21.72,53.97,50.13,25684.58,475.36,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.14,60.9,53.02,22810.55,455.64,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.79,63.51,56.5,27517.98,493.53,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.18,50.23,44.81,12190.95,515.56,False,False,True,True,False,False,False,False,False,True,False,False,False,False
24.17,55.91,52.85,28353.98,446.72,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.58,57.18,51.21,24181.93,470.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.83,79.18,70.73,16727.5,499.76,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.14,71.46,55.09,20741.33,479.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.18,72.71,55.87,5304.3,444.08,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21.97,55.78,59.69,25824.0,468.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.39,67.68,54.7,21314.42,461.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.2,63.83,63.94,23930.6,523.32,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.51,61.71,55.83,28961.48,501.85,False,False,False,True,True,False,False,False,False,False,False,True,False,False
20.28,50.05,47.2,11870.46,477.77,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.88,37.85,51.24,34465.6,437.93,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.63,59.08,53.4,29758.97,500.79,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.5,53.21,54.52,33439.7,465.77,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21.97,54.7,58.04,25995.89,469.81,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.09,72.09,56.68,17681.6,498.3,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.65,45.97,52.71,36693.52,478.12,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.33,38.81,50.95,34422.57,449.43,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.72,59.59,54.31,29511.17,470.14,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.06,78.42,68.97,17205.1,467.05,False,False,False,False,True,True,False,False,False,False,False,True,True,False
21.16,74.53,56.7,20172.11,461.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.55,54.16,51.97,27972.61,505.09,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.3,50.29,49.69,26814.79,499.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.75,41.35,51.94,35113.98,501.98,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.2,49.91,47.41,11862.83,485.87,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.03,78.1,68.17,16294.19,464.46,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.27,70.18,54.24,20650.71,473.42,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.62,54.85,56.78,26564.96,452.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.9,74.88,69.75,19731.51,462.55,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.99,51.34,52.1,26913.79,496.55,False,False,False,True,True,False,False,False,False,False,True,True,False,False
25.14,46.13,53.48,34464.64,484.27,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20.85,75.24,69.81,18648.43,439.69,True,False,False,False,True,True,False,True,False,False,True,True,True,False
20.66,48.67,49.26,12406.36,450.98,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.65,72.0,56.03,5646.24,467.67,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.69,60.19,55.86,29771.97,506.76,False,False,False,True,True,False,False,False,False,False,False,True,False,False
22.5,51.55,51.04,27009.4,493.05,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.92,45.09,53.75,37027.09,475.69,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.8,46.38,53.15,33864.47,457.11,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.12,47.64,49.06,14111.46,444.94,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24.51,40.04,51.0,35730.2,500.76,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.2,54.19,50.3,28882.68,443.46,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.9,62.1,56.41,29416.39,464.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.05,66.32,56.86,31561.15,458.34,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.24,72.79,56.2,5343.24,457.37,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.4,58.94,52.58,30423.19,447.28,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.08,51.12,53.87,33423.01,446.46,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.26,62.49,56.15,29570.22,451.08,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.18,71.78,56.05,20284.03,460.88,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.83,59.31,54.01,30224.85,500.47,False,False,False,True,True,False,False,False,False,False,False,True,False,False
20.97,74.94,56.23,20195.29,452.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.3,69.28,54.82,21173.55,509.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.99,50.62,51.65,26449.8,483.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.79,54.97,51.48,24798.2,464.62,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.38,68.49,52.01,5924.39,456.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.21,80.29,62.93,13208.49,474.18,False,False,False,False,True,True,False,False,False,False,False,True,True,False
23.42,65.43,56.46,26084.67,477.34,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.62,46.86,49.74,15027.03,472.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.26,39.21,51.91,35481.28,508.58,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.25,61.26,55.87,29698.74,494.14,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.08,74.91,57.12,9253.52,495.26,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.02,74.3,55.88,20241.06,479.85,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.07,50.04,49.55,27470.44,443.93,False,False,False,False,True,False,False,False,False,False,True,True,False,False
20.27,73.97,54.69,5162.71,490.99,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.37,60.56,55.59,30115.0,453.64,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.02,77.72,70.42,17006.84,513.18,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.51,60.52,56.21,29167.32,457.18,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.12,50.32,48.66,26722.08,480.07,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.8,60.65,62.83,24219.55,458.95,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.07,74.02,56.15,19798.67,464.8,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.96,55.93,60.37,25307.48,478.32,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.84,60.58,54.56,29947.41,472.78,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.42,46.93,54.19,34753.31,427.55,False,True,False,False,False,False,False,False,False,False,True,False,False,False
24.68,60.8,55.0,30112.35,483.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.57,56.56,59.17,25864.55,507.8,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.14,72.88,55.66,20076.88,474.61,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.29,53.37,51.26,28160.09,494.39,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.84,52.47,54.86,26446.6,487.65,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.84,48.19,49.74,13233.05,499.09,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.1,67.07,55.86,31806.0,462.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.87,54.77,52.71,27582.68,497.29,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.65,60.78,56.08,29941.07,508.68,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.13,74.8,57.08,19768.92,459.44,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.32,70.41,55.54,20587.24,496.19,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.89,71.23,56.26,5917.85,502.31,True,False,False,True,False,False,False,True,False,False,False,False,False,False
20.37,49.59,49.22,12219.82,519.83,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.84,79.29,63.6,17854.48,491.91,True,False,False,True,True,True,False,True,False,False,True,True,True,False
24.68,60.63,54.49,29826.32,462.62,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.71,76.95,67.91,17458.64,448.75,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.9,56.68,52.32,29439.4,459.72,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.55,61.05,55.13,29329.92,489.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.79,47.01,36.67,11838.43,456.66,False,False,True,False,False,False,False,False,False,True,False,False,False,False
22.99,68.31,56.81,24088.09,458.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.05,78.68,62.75,13569.73,463.01,False,False,False,False,True,True,False,False,False,False,False,True,True,False
22.15,50.25,48.38,27389.66,484.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.08,49.8,48.68,27298.26,519.28,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.25,48.39,54.21,36929.03,499.1,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.25,61.96,55.43,29438.52,447.7,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.18,72.76,54.52,5156.99,456.73,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.59,66.61,51.9,6294.45,474.93,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.56,51.21,50.82,27184.9,523.85,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.49,60.21,55.45,29785.34,503.97,False,False,False,True,True,False,False,False,False,False,False,True,False,False
25.17,41.92,51.1,35197.06,477.73,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20.2,75.84,69.44,16556.44,474.44,False,False,False,False,True,True,False,False,False,False,False,True,True,False
22.14,50.66,49.49,26554.84,493.33,False,False,False,True,True,False,False,False,False,False,True,True,False,False
19.86,75.83,69.57,16656.21,447.54,False,False,False,False,True,False,False,True,False,False,True,True,False,False
21.66,61.72,53.25,22750.46,466.99,False,False,False,False,True,False,False,False,False,False,False,True,False,False
