temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
23.43,57.85,53.52,17899.1,481.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.83,37.48,51.27,34476.7,448.07,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.08,53.51,53.34,17404.24,442.02,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23.11,50.5,51.59,19983.03,469.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.56,71.13,55.28,5902.02,492.45,True,False,False,False,False,False,False,False,False,False,False,False,False,False
24.68,60.63,54.62,29798.01,462.62,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.04,37.96,52.45,35535.48,480.1,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.64,60.19,55.27,29903.24,469.79,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.75,73.79,56.19,5181.07,509.02,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.27,73.97,57.69,11051.81,481.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.18,71.95,57.3,13374.51,498.34,False,False,False,False,True,False,False,False,False,False,False,True,False,False
25.25,52.24,62.75,27409.88,382.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.18,53.25,51.86,27880.23,478.01,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.95,57.78,53.98,15335.14,502.49,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22.94,58.63,53.05,15379.05,484.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.0,60.19,55.06,15159.34,482.23,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.59,59.68,52.62,14991.49,465.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.09,62.13,55.67,36418.42,481.12,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.19,44.11,51.57,24958.85,497.92,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.63,37.13,51.48,35248.86,427.51,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.22,58.86,53.46,15372.14,468.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.92,40.11,50.4,34637.22,487.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.95,77.74,63.58,14778.76,445.47,False,False,False,False,True,True,False,True,False,False,True,True,True,False
22.07,50.04,49.55,27470.44,443.93,False,False,False,False,True,False,False,False,False,False,True,True,False,False
22.31,67.13,56.63,24661.68,478.71,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.35,65.0,54.28,8549.78,493.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.02,57.33,51.58,29344.09,473.44,False,False,False,True,True,False,False,False,False,False,True,True,False,False
