temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
23.04,68.03,56.2,22941.85,467.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.14,73.36,56.67,19940.2,495.03,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.85,54.48,58.48,26133.35,443.44,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.01,53.23,50.77,27549.28,450.74,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.49,73.99,56.53,20548.53,466.68,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.25,50.43,48.61,12125.21,490.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.02,50.83,50.93,26678.53,470.59,False,False,False,True,True,False,False,False,False,False,True,True,False,False
20.42,50.62,50.44,12054.97,501.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.62,59.76,54.89,29799.11,502.53,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.19,58.08,53.21,15634.08,483.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.5,67.33,53.64,21383.35,498.6,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.99,55.73,52.89,27958.31,475.33,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.43,74.45,57.52,6575.18,459.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.94,55.91,53.17,22351.18,446.91,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23.11,65.86,56.11,27240.58,471.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.88,60.22,54.26,30540.83,464.79,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.61,55.77,51.67,14088.23,452.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.89,71.23,56.26,5917.85,502.31,True,False,False,True,False,False,False,True,False,False,False,False,False,False
20.5,75.4,59.52,18776.74,468.77,True,False,False,False,True,False,False,True,False,False,False,True,False,False
21.99,51.34,52.1,26913.79,496.55,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.21,63.72,54.55,21007.25,460.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.31,51.44,49.74,12621.84,454.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.17,74.9,56.62,20380.74,453.7,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.88,51.47,54.19,26605.46,462.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.43,49.27,48.07,12538.59,468.72,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.9,74.88,69.75,19731.51,462.55,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.73,41.99,51.46,35471.07,500.51,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.04,72.95,58.17,19643.28,486.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.94,50.16,52.05,26793.33,460.49,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.88,51.32,52.62,27018.97,499.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.29,50.81,48.96,27499.17,493.12,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.27,47.02,49.18,14467.79,450.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.78,42.96,52.27,35160.4,458.46,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.19,65.49,57.08,27623.69,465.94,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.33,53.8,52.35,27714.1,443.35,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.24,68.43,54.93,21063.74,444.51,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.32,42.54,51.92,27234.41,467.15,False,False,False,True,False,False,False,False,False,False,True,False,False,False
25.05,54.55,55.15,40775.64,476.48,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22.72,59.25,53.79,14787.1,494.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.15,61.98,55.8,29744.26,451.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.5,51.55,51.04,27009.4,493.05,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.56,61.56,55.14,28037.36,496.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.34,40.13,51.38,34744.66,510.03,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.66,40.16,51.59,35168.44,470.3,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.87,40.86,50.69,34478.39,480.17,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.4,50.7,49.26,11890.9,482.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.71,40.44,52.66,34945.73,430.91,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.55,59.28,54.52,29198.06,480.42,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.62,76.34,71.39,18866.77,470.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.66,48.67,49.27,12406.36,450.97,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.13,74.41,57.39,19946.15,501.97,False,False,False,True,True,False,False,False,False,False,False,True,False,False
22.76,59.79,53.35,14811.33,453.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.49,56.26,58.98,26202.48,494.05,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.65,72.0,56.03,5646.24,467.67,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.82,39.35,51.11,31479.53,502.92,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23.62,37.4,50.81,35499.71,449.93,False,False,False,True,False,False,False,False,False,False,True,False,False,False
22.82,62.72,55.38,24255.9,442.88,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.9,50.73,52.36,27309.73,498.82,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.64,37.59,51.8,34924.13,425.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21.08,74.32,55.95,19885.65,485.8,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.77,53.58,55.4,26297.26,499.11,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.19,44.11,51.57,24958.85,497.92,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.73,75.72,66.36,15807.74,494.03,True,False,False,False,True,True,False,False,False,False,False,True,True,False
22.81,52.23,51.26,27562.1,503.64,False,False,False,False,True,False,False,False,False,False,False,True,False,False
25.0,39.83,50.98,35229.48,486.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.77,59.49,63.13,25139.2,449.53,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.83,59.13,53.86,29527.12,456.88,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.22,49.9,48.66,11892.67,493.43,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.44,60.52,55.38,29354.46,473.96,False,False,False,False,True,False,False,False,False,False,False,True,False,False
