temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
20.16,71.15,54.06,5315.89,507.14,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22.06,50.62,49.33,26618.41,445.16,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.13,57.72,52.25,29528.56,506.39,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.0,75.33,59.8,20183.3,452.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.66,70.43,68.64,19944.1,470.43,True,False,False,True,True,True,False,False,False,False,True,True,False,False
20.27,73.97,57.69,11051.81,481.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.51,74.88,68.23,19640.39,473.76,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.73,51.29,51.39,12268.98,476.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.93,57.22,51.63,14701.67,502.87,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.44,46.46,53.97,37574.95,506.92,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22.16,55.95,53.52,13364.45,448.74,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22.72,60.94,56.76,13689.14,480.41,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.06,74.83,60.52,19881.85,453.36,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.78,54.66,51.6,25161.6,504.87,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.73,61.01,55.2,14509.85,454.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.97,51.91,53.97,26484.38,489.88,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.7,55.96,53.34,25992.58,512.92,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.68,72.74,57.61,20105.04,467.4,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.71,72.68,55.61,5448.4,456.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.96,56.79,54.11,15643.61,455.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.29,70.88,56.75,19344.38,447.07,False,False,False,False,True,False,False,False,False,False,True,True,False,False
25.23,44.43,51.43,34238.64,475.25,False,False,False,False,False,False,False,False,True,False,False,False,False,False
21.16,78.11,61.31,17322.93,460.38,True,False,False,False,True,True,False,True,False,False,False,True,True,False
21.11,74.28,57.18,20291.83,467.26,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.94,58.48,53.29,15062.3,445.76,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23.33,41.06,50.13,26494.67,474.58,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.29,49.41,48.13,12165.67,442.62,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21.84,66.66,56.49,11670.86,449.26,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22.99,59.09,53.86,15216.57,465.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.07,55.93,53.8,13805.23,478.59,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.11,51.6,53.09,19015.1,459.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.55,61.38,55.36,14508.43,477.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.39,61.78,55.46,29990.51,478.68,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20.01,68.16,55.79,6888.98,456.71,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.97,74.94,56.23,20195.29,452.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.18,72.71,55.87,5304.3,444.08,False,False,False,False,False,False,False,False,False,False,True,False,False,False
