temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
22.31,70.84,54.4,21485.7,467.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.17,62.21,55.75,29829.91,482.33,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.63,56.42,48.59,29413.56,483.35,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.93,70.5,57.44,23531.25,488.08,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.95,67.66,54.15,22943.16,497.58,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.19,58.37,50.75,29483.65,480.9,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.02,55.65,47.54,28879.86,524.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.71,59.44,51.39,30545.06,485.72,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.81,72.59,55.14,20618.33,511.42,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.54,74.05,56.59,20571.13,460.27,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.28,75.06,56.14,20442.05,450.72,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.24,74.97,57.31,19924.87,487.5,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.68,72.2,57.23,22415.2,509.73,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.5,56.01,48.04,28785.07,502.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.15,72.12,55.37,20608.38,461.06,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.63,63.54,56.81,28309.7,468.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.26,73.56,56.14,19951.29,472.69,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.7,68.38,57.26,26638.63,465.65,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.5,69.5,54.57,22096.51,490.15,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.04,61.8,52.47,27714.45,461.69,False,False,False,False,True,False,False,False,False,False,False,True,False,False
19.61,43.44,33.98,24643.38,800.22,True,False,True,False,True,False,False,True,False,True,False,True,False,False
22.47,69.02,56.54,25466.94,468.34,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.43,61.73,56.04,29177.25,471.3,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.47,73.25,55.51,20463.52,453.29,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.55,74.34,57.01,19787.64,476.84,False,False,False,True,True,False,False,False,False,False,True,True,False,False
18.4,41.13,31.09,24514.59,859.53,True,False,True,False,True,False,False,True,False,True,False,True,False,False
15.81,35.5,25.84,21641.42,981.81,True,False,True,False,True,False,False,True,False,True,False,True,False,False
23.95,57.3,50.0,29942.28,448.65,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.19,65.48,56.84,27623.69,482.0,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.19,74.68,56.93,19954.56,478.27,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.12,74.4,56.96,19946.16,469.11,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.72,57.03,49.12,29428.71,471.57,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.88,62.49,56.6,28998.99,458.14,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.85,49.93,40.8,26717.38,676.15,False,False,True,False,True,False,False,False,False,True,False,True,False,False
