temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
27.34,64.88,65.97,20617.73,413.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26.63,60.67,64.68,23339.93,403.61,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26.22,58.31,64.77,25286.61,395.48,False,True,False,False,False,False,False,False,True,False,False,False,False,False
25.66,55.61,64.19,26725.58,391.47,False,True,False,False,False,False,False,False,True,False,False,False,False,False
25.25,52.24,62.75,27409.88,382.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.72,50.04,62.19,28902.36,380.62,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.37,48.12,61.54,30202.86,378.97,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.07,46.26,61.8,30071.33,373.61,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.84,45.03,60.91,31389.57,374.11,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.49,43.18,59.42,31501.28,367.27,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.72,43.96,60.43,31986.34,409.97,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.1,44.08,59.19,32334.45,441.41,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.45,43.64,58.95,33520.27,473.46,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.65,44.4,58.38,32751.1,496.95,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.89,44.18,58.45,33447.08,520.72,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25.2,44.6,57.6,34405.13,513.95,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24.69,42.93,57.48,34003.7,488.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.46,41.15,56.7,34047.33,478.42,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.16,40.13,56.47,33803.73,463.01,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.83,39.13,56.38,34507.07,443.02,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.51,38.39,56.31,34495.55,430.24,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.13,37.16,56.26,35058.84,427.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.51,37.93,55.9,35223.98,453.71,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.91,38.61,55.44,35033.11,482.98,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.23,39.59,54.37,35231.99,511.42,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.47,40.13,54.89,34342.12,496.86,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.94,40.71,54.19,34818.43,483.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25.0,40.89,54.22,34448.93,473.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24.56,40.03,53.44,35416.32,464.61,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.19,38.73,53.95,34474.85,444.64,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.05,38.09,53.45,35289.69,438.87,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.56,36.93,53.21,34801.87,425.56,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.4,36.64,53.93,34361.33,415.93,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.68,37.63,52.6,34501.06,450.27,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.04,37.96,52.45,35535.48,480.1,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.46,38.85,51.99,35650.32,510.37,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.05,42.73,52.44,30441.94,491.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.52,45.28,53.03,27157.68,480.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.25,48.58,53.34,23822.39,477.58,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.86,51.48,53.13,20467.48,468.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.56,53.68,54.3,17966.01,457.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.26,56.16,53.55,16596.85,445.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21.93,57.8,54.59,14447.35,476.07,False,False,False,True,False,False,False,False,False,False,True,False,False,False
21.84,59.12,54.64,13224.56,505.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21.55,61.01,55.38,11796.24,495.54,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.28,62.25,55.11,10809.66,480.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.2,63.1,54.92,10211.94,477.02,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.89,64.41,54.75,9420.95,467.19,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.9,65.63,54.71,8736.49,457.87,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.7,67.37,55.67,7919.15,452.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.5,67.77,56.28,7505.04,439.97,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20.33,68.37,55.29,7254.28,476.24,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20.24,69.15,55.39,6887.23,505.34,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.27,69.0,55.77,6547.81,484.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.16,70.3,55.6,6427.23,478.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.0,69.91,55.39,6255.35,472.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20.58,71.52,56.34,5902.52,457.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False
