temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
18.82,66.82,54.74,12933.9,512.19,True,False,False,True,True,False,False,True,False,False,False,True,False,False
19.87,65.37,54.33,15864.93,495.67,True,False,False,False,True,False,False,True,False,False,False,True,False,False
21.02,65.61,55.06,18137.19,482.11,True,False,False,False,True,False,False,True,False,False,False,True,False,False
21.93,65.21,55.2,19914.29,474.03,True,False,False,False,True,False,False,False,False,False,False,True,False,False
22.21,63.72,54.55,21007.25,460.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.33,63.36,54.63,22630.03,455.52,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.57,63.12,54.62,24044.45,451.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.82,62.72,55.38,24255.9,442.88,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.08,63.0,55.09,25586.46,477.93,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.19,62.2,54.23,25896.48,499.39,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.21,62.84,55.62,26477.96,527.15,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.39,62.57,54.93,26918.78,507.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.56,61.56,55.14,28037.36,496.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.59,62.28,55.02,27500.96,481.13,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.67,61.66,55.48,28176.69,471.12,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.84,61.96,55.05,29062.49,469.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.84,61.49,55.3,28788.75,456.15,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.07,60.62,54.89,28880.75,455.39,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.21,60.7,55.0,28720.19,448.81,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.28,60.64,55.23,29357.44,472.42,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.32,60.85,55.46,29381.16,497.61,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.27,60.13,55.71,29889.74,529.81,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.32,60.11,55.62,30055.03,506.92,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.41,60.06,55.43,29912.8,494.12,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.46,60.58,54.61,30100.19,485.34,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.44,60.52,55.38,29354.46,473.96,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.67,60.61,54.9,29774.08,463.13,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.52,60.19,55.15,29468.59,456.1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.51,60.5,54.55,30305.28,454.87,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.54,59.99,55.28,29507.23,442.15,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.78,60.36,54.95,30211.23,478.9,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.62,59.76,54.89,29799.11,502.53,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.78,60.43,55.8,29426.5,489.56,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.71,60.64,54.59,29550.1,479.16,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.75,59.92,54.59,30439.52,469.56,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.88,60.22,54.26,30540.83,464.79,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.59,62.08,54.6,28435.06,451.68,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.18,62.43,55.09,27711.39,445.67,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.02,64.13,55.3,26583.69,482.77,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.73,65.55,54.98,24985.38,509.4,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.51,66.3,56.09,23979.27,492.94,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.3,67.59,55.22,24187.67,477.02,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.04,68.03,56.2,22941.85,467.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.03,68.27,56.17,22817.77,462.02,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.81,69.28,56.84,22039.09,457.21,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.59,69.68,56.49,21781.83,446.96,False,False,False,False,True,False,False,False,False,False,True,True,False,False
22.57,69.74,56.22,22095.8,483.53,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.3,70.4,55.98,21785.4,509.17,False,False,False,True,True,False,False,False,False,False,False,True,False,False
22.37,71.04,55.88,21485.19,494.69,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.2,72.3,56.8,20607.96,484.62,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.04,72.18,57.36,20563.28,468.15,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.91,72.33,56.29,20825.23,465.18,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.85,72.72,56.34,20618.06,459.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.92,72.18,56.68,20349.98,444.46,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.84,73.2,56.46,20650.75,479.54,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.7,72.48,56.2,20697.77,509.64,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.67,73.87,57.12,20041.44,489.22,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.56,74.13,57.54,20571.02,485.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.49,73.32,56.4,20463.42,475.56,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.49,73.99,56.53,20548.53,466.68,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.57,74.39,57.82,19787.57,457.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.4,74.68,57.73,20438.71,451.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.35,74.56,56.58,20423.12,446.32,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.31,74.69,57.22,19948.35,476.76,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.28,73.59,56.79,19951.26,504.74,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.41,74.04,57.6,19995.31,493.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.29,75.09,56.73,20442.02,475.21,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.36,74.14,56.74,20002.32,471.03,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.2,74.7,57.47,19954.54,461.33,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.17,74.9,56.62,20380.74,453.7,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.25,74.99,57.8,19924.86,443.1,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.22,74.41,57.21,20307.43,479.41,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.13,74.41,57.39,19946.15,501.97,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.08,74.61,58.33,20162.68,495.51,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.17,74.46,57.68,19617.55,478.52,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.12,74.9,57.88,19986.91,470.35,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.45,73.73,58.28,21715.74,463.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.68,72.21,57.56,22415.19,459.01,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.93,70.51,57.77,23531.25,444.25,False,False,False,False,True,False,False,False,False,False,True,True,False,False
22.34,69.85,57.59,24743.53,482.21,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.47,69.03,56.82,25466.94,501.53,False,False,False,True,True,False,False,False,False,False,False,True,False,False
22.7,68.39,57.54,26638.63,495.23,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.78,67.48,57.16,26761.02,481.94,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.11,65.86,56.11,27240.58,471.91,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.19,65.49,57.08,27623.69,465.94,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.41,65.06,57.26,27973.55,452.36,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.54,64.57,56.91,28714.19,446.81,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.64,64.15,55.97,28510.97,481.0,False,False,False,True,True,False,False,False,False,False,True,True,False,False
23.63,63.55,57.01,28309.7,501.95,False,False,False,True,True,False,False,False,False,False,False,True,False,False
23.77,62.94,55.79,28875.17,491.15,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.89,62.49,56.77,28998.99,484.28,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.09,62.14,56.79,29347.18,471.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.17,62.21,55.91,29829.91,466.36,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.15,62.51,56.54,29933.19,455.56,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.15,61.98,55.8,29744.26,451.66,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.33,62.22,56.64,30182.41,443.41,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.43,61.73,56.16,29177.25,473.26,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.47,61.06,55.44,29515.13,500.61,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.39,61.78,55.43,30299.48,488.17,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.56,61.14,56.18,29264.1,482.58,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.45,60.53,56.49,29279.75,464.47,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.5,61.37,55.89,29541.82,460.36,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.5,61.4,55.6,29584.63,452.14,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.65,61.34,55.99,30226.72,443.93,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.61,60.79,56.31,30001.04,481.2,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.65,61.16,55.06,30034.04,507.36,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.64,60.8,55.2,30155.87,494.55,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.81,60.59,54.74,29984.17,482.11,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.65,60.64,54.67,29857.43,470.8,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.76,60.24,56.11,29911.98,459.17,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.71,60.4,55.68,30105.13,458.71,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.88,60.29,55.95,30082.13,446.72,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.76,60.82,55.02,29916.58,480.91,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.85,60.47,55.1,29972.41,503.32,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.85,60.07,54.95,29718.1,493.43,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.96,60.29,55.36,29614.45,478.89,False,False,False,False,True,False,False,False,False,False,False,True,False,False
25.27,59.0,55.38,33179.77,471.53,False,False,False,False,True,False,False,False,True,False,False,False,False,False
24.92,55.37,54.36,33544.54,455.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.48,53.22,54.63,33445.83,446.36,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.07,51.13,53.97,33428.18,429.59,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.7,48.46,54.19,34305.38,420.27,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.41,46.93,54.29,34757.16,414.39,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.79,46.38,53.23,33867.64,445.6,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.05,46.61,53.18,35006.53,479.17,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.53,46.07,53.95,34438.97,508.99,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.78,46.25,53.1,34097.81,488.18,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25.13,46.13,53.55,34466.31,477.38,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24.65,44.14,52.33,34750.31,463.88,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.37,42.75,53.16,34861.33,454.45,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.84,41.79,52.52,34677.01,442.77,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.71,40.44,52.66,34945.73,430.91,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.41,39.3,51.89,35047.65,416.51,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.61,39.74,51.45,34781.55,453.91,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.98,40.36,52.44,35156.12,482.25,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.39,41.36,52.46,35066.56,510.41,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.75,41.35,51.98,35114.37,499.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.99,41.42,51.3,34653.24,486.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25.17,41.92,51.14,35197.34,476.02,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24.85,40.89,51.63,34357.2,455.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.35,39.66,51.17,34380.73,450.24,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.09,38.88,52.18,35657.86,436.08,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.64,37.59,51.8,34924.13,425.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.49,36.91,51.47,35159.12,415.44,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.67,37.81,51.01,35213.01,452.86,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.06,38.79,50.88,35601.63,482.69,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.43,39.24,50.86,34734.64,510.88,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24.68,39.86,51.84,35205.27,493.81,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.94,40.11,50.82,35345.83,483.39,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25.27,40.58,51.06,35587.46,471.74,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24.84,39.44,51.66,35142.95,455.26,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.33,38.81,50.97,34422.61,449.1,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24.16,37.86,50.26,35458.1,433.34,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.78,37.11,50.45,35462.74,427.42,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23.37,36.43,50.58,35585.61,414.62,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.89,37.52,50.38,35401.77,448.04,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24.24,38.03,51.17,34692.45,477.02,False,False,False,True,False,False,False,False,False,False,True,False,False,False
23.82,39.35,51.11,31479.53,502.92,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23.46,40.51,50.24,29110.37,491.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.33,41.06,50.13,26494.69,474.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.92,42.12,50.81,23890.25,468.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False
