temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
24.36,49.43,49.98,9821.06,481.17,False,False,False,False,True,False,True,False,False,False,False,True,False,True
24.2,49.58,49.75,10972.5,470.51,False,False,False,False,True,False,True,False,False,False,False,True,False,True
23.84,49.24,48.84,11648.72,455.51,False,False,False,False,True,False,True,False,False,False,False,True,False,True
23.7,49.34,49.29,12552.44,447.44,False,False,False,False,True,False,True,False,False,False,True,True,False,True
23.58,49.37,49.68,13356.2,477.41,False,False,False,True,True,False,True,False,False,False,True,True,False,True
23.44,49.87,48.49,13769.23,505.71,False,False,False,True,True,False,True,False,False,False,False,True,False,True
23.43,49.74,49.21,14506.81,488.99,False,False,False,False,True,False,True,False,False,False,False,True,False,True
23.22,49.25,48.62,14577.27,470.82,False,False,False,False,True,False,True,False,False,False,False,True,False,True
23.29,50.12,48.57,15150.49,461.36,False,False,False,False,True,False,True,False,False,False,False,True,False,True
23.19,49.73,48.46,15192.79,453.0,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.95,49.87,49.35,15533.33,441.26,False,False,False,False,True,False,True,False,False,False,True,True,False,True
23.04,49.82,48.13,15520.33,468.42,False,False,False,True,True,False,True,False,False,False,True,True,False,True
22.88,50.12,48.58,15706.58,495.87,False,False,False,True,True,False,True,False,False,False,True,True,False,True
22.89,49.88,49.34,16370.71,513.93,False,False,False,True,True,False,True,False,False,False,False,True,False,True
22.77,50.04,48.68,16115.43,503.74,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.57,49.81,48.52,16674.37,491.31,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.55,49.89,48.09,16742.36,478.25,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.51,50.04,48.69,16320.12,465.79,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.52,50.19,48.55,16285.48,451.76,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.37,50.35,49.03,16896.05,442.84,False,False,False,False,True,False,True,False,False,False,True,True,False,True
22.34,50.3,49.11,16446.43,472.68,False,False,False,True,True,False,True,False,False,False,True,True,False,True
22.3,50.19,48.82,16515.86,497.42,False,False,False,True,True,False,True,False,False,False,True,True,False,True
22.38,49.71,48.95,16748.65,516.56,False,False,False,True,True,False,True,False,False,False,False,True,False,True
22.35,50.18,47.96,16703.51,507.78,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.35,49.89,48.4,16600.19,485.38,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.25,50.05,47.96,16688.48,471.02,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.29,49.69,48.92,17138.81,459.71,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.18,50.13,47.91,16662.67,457.6,False,False,False,False,True,False,True,False,False,False,False,True,False,True
22.24,49.94,48.72,17132.86,442.05,False,False,False,False,True,False,True,False,False,False,True,True,False,True
