temperature,humidity,soil_moisture,light_intensity,co2_concentration,prev_heater,prev_ventilation,prev_irrigation,prev_co2_injector,prev_lights,prev_dehumidifier,prev_light_blinds,heater,ventilation,irrigation,co2_injector,lights,dehumidifier,light_blinds
8.98,20.61,13.7,14142.2,1396.7,True,False,True,False,True,False,False,True,False,True,False,True,False,False
10.86,24.77,16.87,16920.81,1268.59,True,False,True,False,True,False,False,True,False,True,False,True,False,False
12.69,29.11,20.25,19039.13,1159.22,True,False,True,False,True,False,False,True,False,True,False,True,False,False
14.28,32.8,23.3,20677.59,1072.26,True,False,True,False,True,False,False,True,False,True,False,True,False,False
15.81,35.5,25.84,21641.42,981.81,True,False,True,False,True,False,False,True,False,True,False,True,False,False
17.11,38.43,28.56,23176.6,916.83,True,False,True,False,True,False,False,True,False,True,False,True,False,False
18.4,41.13,31.09,24514.59,859.53,True,False,True,False,True,False,False,True,False,True,False,True,False,False
19.61,43.44,33.98,24643.38,800.22,True,False,True,False,True,False,False,True,False,True,False,True,False,False
20.76,45.99,36.12,25922.77,759.07,True,False,True,False,True,False,False,True,False,True,False,True,False,False
21.71,47.51,37.72,26178.15,708.12,True,False,True,False,True,False,False,False,False,True,False,True,False,False
21.85,49.93,40.8,26717.38,676.15,False,False,True,False,True,False,False,False,False,True,False,True,False,False
22.14,51.47,42.27,27121.88,637.92,False,False,True,False,True,False,False,False,False,True,False,True,False,False
22.4,52.19,44.32,28214.41,611.0,False,False,True,False,True,False,False,False,False,True,False,True,False,False
22.53,54.23,46.01,27646.67,581.45,False,False,True,False,True,False,False,False,False,False,False,True,False,False
22.7,54.47,46.86,28302.21,559.42,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.94,55.44,46.92,29171.53,548.56,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.02,55.65,47.54,28879.86,524.81,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.31,55.43,47.58,28957.93,516.65,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.5,56.01,48.04,28785.07,502.67,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.63,56.42,48.59,29413.56,483.35,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.72,57.03,49.12,29428.71,471.57,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.73,56.74,49.66,29930.72,470.27,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.82,57.05,49.89,30089.95,455.3,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.95,57.3,50.0,29942.28,448.65,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.03,58.08,49.53,30125.35,481.03,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.05,58.27,50.48,29375.28,506.05,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.31,58.57,50.29,29792.01,491.25,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.19,58.37,50.75,29483.65,480.9,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.21,58.86,50.42,30318.43,476.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.26,58.52,51.3,29518.1,461.33,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.52,59.03,51.19,30220.68,459.78,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.39,58.58,51.32,29807.03,449.84,False,False,False,False,True,False,False,False,False,False,True,True,False,False
24.56,59.35,52.35,29433.15,479.19,False,False,False,True,True,False,False,False,False,False,True,True,False,False
24.51,59.66,51.38,29555.77,505.99,False,False,False,True,True,False,False,False,False,False,False,True,False,False
24.56,59.05,51.55,30444.48,493.16,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.71,59.44,51.39,30545.06,485.72,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.43,61.37,51.86,28438.59,469.88,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24.04,61.8,52.47,27714.45,461.69,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.88,63.56,52.81,26586.29,460.73,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.6,65.03,52.63,24987.53,453.68,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23.4,65.83,53.82,23981.08,444.27,False,False,False,False,True,False,False,False,False,False,True,True,False,False
23.19,67.17,53.1,24189.27,470.32,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.95,67.66,54.15,22943.16,497.58,False,False,False,True,True,False,False,False,False,False,True,True,False,False
22.95,67.93,54.23,22818.91,524.37,False,False,False,True,True,False,False,False,False,False,False,True,False,False
22.73,68.98,54.98,22040.04,512.4,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.51,69.41,54.74,21782.64,495.14,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.5,69.5,54.57,22096.51,490.15,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.23,70.18,54.42,21786.0,478.71,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.31,70.84,54.4,21485.7,467.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22.15,72.12,55.37,20608.38,461.06,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.99,72.02,55.99,20563.63,447.7,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.87,72.18,55.02,20825.53,483.13,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.81,72.59,55.14,20618.33,511.42,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.88,72.06,55.52,20350.2,489.52,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.8,73.09,55.37,20650.94,483.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.67,72.38,55.17,20697.93,476.95,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.64,73.78,56.13,20041.57,460.89,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.54,74.05,56.59,20571.13,460.27,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.47,73.25,55.51,20463.52,453.29,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.47,73.93,55.69,20548.62,447.09,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.55,74.34,57.01,19787.64,476.84,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.38,74.63,56.95,20438.78,504.76,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.33,74.52,55.86,20423.17,492.95,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.29,74.65,56.53,19948.39,481.54,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.26,73.56,56.14,19951.29,472.69,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.4,74.01,56.97,19995.34,465.39,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.28,75.06,56.14,20442.05,450.72,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.35,74.11,56.19,20002.35,449.25,False,False,False,False,True,False,False,False,False,False,True,True,False,False
21.19,74.68,56.93,19954.56,478.27,False,False,False,True,True,False,False,False,False,False,True,True,False,False
21.16,74.88,56.11,20380.76,504.62,False,False,False,True,True,False,False,False,False,False,False,True,False,False
21.24,74.97,57.31,19924.87,487.5,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.21,74.39,56.75,20307.44,482.83,False,False,False,False,True,False,False,False,False,False,False,True,False,False
